date,country,cases,deaths
8/29/2014,Guinea,482,287
8/29/2014,Liberia,322,225
8/29/2014,Nigeria,15,6
8/29/2014,Sierra Leone,935,380
9/5/2014,Guinea,604,362
9/5/2014,Liberia,614,431
9/5/2014,Nigeria,18,7
9/5/2014,Senegal,1,0
9/5/2014,Sierra Leone,1146,443
9/8/2014,Guinea,664,400
9/8/2014,Liberia,634,508
9/8/2014,Nigeria,19,7
9/8/2014,Senegal,1,0
9/8/2014,Sierra Leone,1234,461
9/12/2014,Guinea,678,403
9/12/2014,Liberia,654,498
9/12/2014,Nigeria,19,7
9/12/2014,Senegal,1,0
9/12/2014,Sierra Leone,1287,478
9/16/2014,Guinea,743,429
9/16/2014,Liberia,790,563
9/16/2014,Nigeria,19,7
9/16/2014,Senegal,1,0
9/16/2014,Sierra Leone,1464,514
9/18/2014,Guinea,750,435
9/18/2014,Liberia,812,631
9/18/2014,Nigeria,19,7
9/18/2014,Senegal,1,0
9/18/2014,Sierra Leone,1513,517
9/22/2014,Guinea,818,465
9/22/2014,Liberia,863,670
9/22/2014,Nigeria,19,7
9/22/2014,Senegal,1,0
9/22/2014,Sierra Leone,1640,545
9/24/2014,Guinea,832,468
9/24/2014,Liberia,890,671
9/24/2014,Nigeria,19,7
9/24/2014,Senegal,1,0
9/24/2014,Sierra Leone,1745,552
9/26/2014,Guinea,876,481
9/26/2014,Liberia,914,792
9/26/2014,Nigeria,19,7
9/26/2014,Senegal,1,0
9/26/2014,Sierra Leone,1816,557
10/1/2014,Guinea,950,535
10/1/2014,Liberia,927,890
10/1/2014,Nigeria,19,7
10/1/2014,Senegal,1,0
10/1/2014,Sierra Leone,2076,574
10/3/2014,Guinea,977,562
10/3/2014,Liberia,931,934
10/3/2014,Nigeria,19,7
10/3/2014,Senegal,1,0
10/3/2014,Sierra Leone,2179,575
10/3/2014,US ,1,0
10/8/2014,Guinea,1044,587
10/8/2014,Liberia,941,1018
10/8/2014,Nigeria,19,7
10/8/2014,Senegal,1,0
10/8/2014,Sierra Leone,2455,725
10/8/2014,US ,1,0
10/10/2014,Guinea,1097,598
10/10/2014,Liberia,943,1072
10/10/2014,Nigeria,19,7
10/10/2014,Senegal,1,0
10/10/2014,Sierra Leone,2593,753
10/10/2014,Spain,1,0
10/10/2014,US ,1,0
10/15/2014,Guinea,1184,653
10/15/2014,Liberia,950,0
10/15/2014,Nigeria,19,7
10/15/2014,Senegal,1,0
10/15/2014,Sierra Leone,2849,926
10/15/2014,Spain,1,0
10/15/2014,US ,2,1
10/17/2014,Guinea,1217,671
10/17/2014,Liberia,0,0
10/17/2014,Nigeria,19,7
10/17/2014,Senegal,1,0
10/17/2014,Sierra Leone,2977,932
10/17/2014,Spain,1,0
10/17/2014,US ,3,1
10/22/2014,Guinea,1289,710
10/22/2014,Liberia,965,1241
10/22/2014,Nigeria,19,7
10/22/2014,Senegal,1,0
10/22/2014,Sierra Leone,3223,986
10/22/2014,Spain,1,0
10/22/2014,US ,3,1
10/25/2014,Guinea,1312,732
10/25/2014,Liberia,965,1241
10/25/2014,Mali,1,1
10/25/2014,Nigeria,19,7
10/25/2014,Senegal,1,0
10/25/2014,Sierra Leone,3389,1008
10/25/2014,Spain,1,0
10/25/2014,US ,4,1
10/29/2014,Guinea,1391,0
10/29/2014,Liberia,2515,0
10/29/2014,Mali,1,1
10/29/2014,Nigeria,19,7
10/29/2014,Senegal,1,0
10/29/2014,Sierra Leone,3700,0
10/29/2014,Spain,1,0
10/29/2014,US ,4,1
10/31/2014,Guinea,1409,0
10/31/2014,Liberia,2515,0
10/31/2014,Mali,1,1
10/31/2014,Nigeria,19,7
